"ID","Taxon","Common","Observer","Source","Date","Year","Phenology",,"InfestedArea_squarem",,"GrossArea_acre","Percent_Cover","Distribution","National Ownership","County","x","y","Location Description","description"
"wb418-379","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48257125,-123.80289128,,
"wb418-380","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48263483,-123.80273266,,
"wb418-381","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48295099,-123.80270042,,
"wb418-382","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48308821,-123.80235992,,
"wb418-383","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48310602,-123.80202311,,
"wb418-384","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48333855,-123.80202498,,
"wb418-385","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48335722,-123.8017379,,
"wb418-386","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48401434,-123.80193677,,
"wb418-387","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48377878,-123.80183449,,
"wb418-388","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48426843,-123.80207471,,
"wb418-389","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48451942,-123.80239988,,
"wb418-390","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48467602,-123.8021615,,
"wb418-391","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48477824,-123.80214232,,
"wb418-392","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48499498,-123.80221688,,
"wb418-393","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.4850481,-123.8023215,,
"wb418-394","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48548851,-123.80220798,,
"wb418-395","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48595002,-123.8023726,,
"wb418-396","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48617592,-123.80223844,,
"wb418-397","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48774021,-123.80237917,,
"wb418-398","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48763023,-123.80227806,,
"wb418-399","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48734863,-123.80218447,,
"wb418-400","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48812477,-123.80275413,,
"wb418-401","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48790807,-123.80241287,,
"wb418-402","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48830912,-123.80455902,,
"wb418-403","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48827432,-123.80411895,,
"wb418-404","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48851206,-123.80376293,,
"wb418-405","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48954177,-123.8045266,,
"wb418-406","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.4899272,-123.8037591,,
"wb418-407","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48995953,-123.80355854,,
"wb418-408","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48989115,-123.80343254,,
"wb418-409","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48965899,-123.80243238,,
"wb418-410","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.49009832,-123.80181808,,
"wb418-411","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48945859,-123.80031298,,
"wb418-412","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.47396074,-123.80304488,,
"wb418-413","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.4741449,-123.80296671,,
"wb418-414","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48956807,-123.79993273,,
"wb418-415","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48962078,-123.80041481,,
"wb418-416","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48150092,-123.80183536,,
"wb418-417","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48190401,-123.80177389,,
"wb418-418","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48209792,-123.80187302,,
"wb418-419","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",38.98917766,-123.70165516,,
"wb418-420","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",38.98736818,-123.7016612,,
"wb418-421","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",38.98703213,-123.70137805,,
"wb418-422","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",38.98717578,-123.70116203,,
"wb418-423","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",38.98685035,-123.70128759,,
"wb418-424","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.47499872,-123.80300974,,
"wb418-425","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.47529966,-123.8028184,,
"wb418-426","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.47583503,-123.80274447,,
"wb418-427","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.47627144,-123.80263576,,
"wb418-428","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.47859824,-123.80238361,,
"wb418-429","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.47882423,-123.80220159,,
"wb418-430","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50211658,-123.78423038,,
"wb418-431","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50226787,-123.78423623,,
"wb418-432","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50260353,-123.78378188,,
"wb418-433","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50263422,-123.78408889,,
"wb418-434","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50265254,-123.78419184,,
"wb418-435","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50267466,-123.78415464,,
"wb418-436","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50272042,-123.78404968,,
"wb418-437","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.5027227,-123.78415202,,
"wb418-438","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50273476,-123.78391281,,
"wb418-439","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50300266,-123.78506702,,
"wb418-440","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50309742,-123.7842977,,
"wb418-441","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50313153,-123.78516237,,
"wb418-442","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50317724,-123.78418082,,
"wb418-443","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50312161,-123.78561956,,
"wb418-444","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50329069,-123.78524656,,
"wb418-445","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50344665,-123.78434228,,
"wb418-446","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50345462,-123.78447682,,
"wb418-447","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50344676,-123.7853276,,
"wb418-448","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50347194,-123.78417074,,
"wb418-449","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50348619,-123.78534348,,
"wb418-450","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50354564,-123.78532701,,
"wb418-451","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50354109,-123.78514297,,
"wb418-452","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50366485,-123.78526851,,
"wb418-453","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50368219,-123.78476407,,
"wb418-454","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.5037207,-123.78507348,,
"wb418-455","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50379718,-123.78524259,,
"wb418-456","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50387315,-123.78493593,,
"wb418-457","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50394275,-123.78525125,,
"wb418-458","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50396289,-123.78489582,,
"wb418-459","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50397733,-123.78628425,,
"wb418-460","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50400203,-123.78618696,,
"wb418-461","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50405659,-123.78502071,,
"wb418-462","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50405956,-123.78531445,,
"wb418-463","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50415927,-123.78486472,,
"wb418-464","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50416836,-123.78594892,,
"wb418-465","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50424391,-123.78488905,,
"wb418-466","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.5042396,-123.78610084,,
"wb418-467","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50421639,-123.78545617,,
"wb418-468","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50426428,-123.78546808,,
"wb418-469","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50427426,-123.7861447,,
"wb418-470","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50432698,-123.78512067,,
"wb418-471","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50432662,-123.78553899,,
"wb418-472","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50435949,-123.78613793,,
"wb418-473","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50437585,-123.78520119,,
"wb418-474","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50439251,-123.78529617,,
"wb418-475","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50441923,-123.78397705,,
"wb418-476","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50444928,-123.78399818,,
"wb418-477","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50448248,-123.78539132,,
"wb418-478","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50435544,-123.78568091,,
"wb418-479","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50449405,-123.78651334,,
"wb418-480","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50449305,-123.78526682,,
"wb418-481","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50457029,-123.78599813,,
"wb418-482","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50458754,-123.78571528,,
"wb418-483","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50456886,-123.78591868,,
"wb418-484","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50463128,-123.78389132,,
"wb418-485","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50463674,-123.78650408,,
"wb418-486","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50465367,-123.78573937,,
"wb418-487","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50469856,-123.78435539,,
"wb418-488","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50472286,-123.78553866,,
"wb418-489","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50474607,-123.78547878,,
"wb418-490","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50480261,-123.78445421,,
"wb418-491","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50478804,-123.78671985,,
"wb418-492","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50483638,-123.78392662,,
"wb418-493","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50480307,-123.78627208,,
"wb418-494","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50488501,-123.78582931,,
"wb418-495","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50509862,-123.78370528,,
"wb418-496","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50509219,-123.78624244,,
"wb418-497","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50521736,-123.78614031,,
"wb418-498","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50529518,-123.7858561,,
"wb418-499","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50536226,-123.78610533,,
"wb418-500","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50544751,-123.78512534,,
"wb418-501","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50549622,-123.78578022,,
"wb418-502","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.5056045,-123.78579263,,
"wb418-503","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50570836,-123.78566386,,
"wb418-504","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50578324,-123.78562598,,
"wb418-505","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50590042,-123.78530109,,
"wb418-506","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50592323,-123.78548396,,
"wb418-507","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50614182,-123.78509832,,
"wb418-508","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.5060827,-123.78537628,,
"wb418-509","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50622854,-123.78523117,,
"wb418-510","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.5062948,-123.7850402,,
"wb418-511","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50675752,-123.78420096,,
"wb418-512","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50678231,-123.78470965,,
"wb418-513","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50202762,-123.78760693,,
"wb418-514","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50332249,-123.78702812,,
"wb418-515","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50181297,-123.7873458,,
"wb418-516","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50103974,-123.78779997,,
"wb418-517","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50139315,-123.78798765,,
"wb418-518","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50227055,-123.78735556,,
"wb418-519","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50137175,-123.78756985,,
"wb418-520","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50270233,-123.787199,,
"wb418-521","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50150159,-123.78745036,,
"wb418-522","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50223054,-123.78695712,,
"wb418-523","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50122934,-123.78780034,,
"wb418-524","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.5018804,-123.78709282,,
"wb418-525","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50179045,-123.787981,,
"wb418-526","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50160036,-123.78831545,,
"wb418-527","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50154411,-123.78774606,,
"wb418-529","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48970437,-123.80314355,,
"wb418-530","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.50264055,-123.78669472,,
"wb418-531","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48971524,-123.80223842,,
"wb418-532","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.5016646,-123.78764602,,
"wb418-533","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48977163,-123.80245751,,
"wb418-534","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.48818348,-123.80261046,,
"wb418-535","Carpobrotus edulis","Iceplant","Bill Maslach","CA State Parks","2011-01-01",2011,,,,,,"<1",,"Other / Unknown","Mendocino",39.4899813,-123.80373668,,
